tweet count,id,tweet content,month,day,hour,source,friends,
25,1.31E+18,"b'RT @AlexBerenson: If you\xe2\x80\x99d like to know how the US has reach 200,000 reported #sarscov2 deaths, the Milwaukee coroner\xe2\x80\x99s office is a good pl\xe2\x80\xa6'",11,12,14,Twitter for iPhone,687,
26,1.31E+18,b'Tony Tenpenny joins Herman Cain in death after mocking and denying #COVID19. A mask could have saved their lives. Thoughts and prayers.\n#Covid \n#CoronaVirus\n#WearAMask https://t.co/GpJshFVRzl',3,30,1,Twitter Web App,5305,
27,1.31E+18,"b'The NBA is back! Due to the #COVID-19 crisis, they are engaging with fans virtually. Visit https://t.co/lbzUuxR8E6 for more! Click here to watch the full story https://t.co/WEuX9yxyId https://t.co/lw4Mna57EU'",1,14,14,Dynamic Signal,789,
28,1.31E+18,b'\xc2\xbfSer\xc3\xa1 la #covid el fin de las granjas de #visones? En @next_ciencia https://t.co/KQU4JJT7I8',9,6,12,Buffer,1381,
29,1.31E+18,"b'RT @IlhaClean: \xf0\x9f\x91\x89Hoje \xc3\xa9 o Dia de Lavar Sofa\xf0\x9f\x91\x88\n\xe2\x9c\x85Informa\xc3\xa7\xc3\xb5es pelo Whatsapp 11 991933818, clique no link abaixo ou na BIOS\xf0\x9f\x94\xbd\n\xe2\x9e\xa1https://t.co/OOF3RB\xe2\x80\xa6'",1,8,7,Alpha-sun,9,
30,1.31E+18,b'RT @ChurchPOP_es: Expres\xc3\xb3 su dura cr\xc3\xadtica sobre lo que est\xc3\xa1 viviendo la Iglesia.\n\n#Catholic #COVID #coronavirus #IglesiaCat\xc3\xb3lica #JimCaviez\xe2\x80\xa6',6,4,22,Twitter Web App,225,
31,1.31E+18,b'RT @FAAN_Official: Approved #COVID-19 Test Centres For International Travelers.\n\nhttps://t.co/7wSiyfCm7G https://t.co/73idKTEZrx',2,13,11,Twitter for Android,137,
32,1.31E+18,"b'@realDonaldTrump today gives himself an A+ on his handling of the pandemic. Are you kidding me! 200K dead Americans, 4% of the world\xe2\x80\x99s population while 21% of all deaths. What a moron. Epic failure. \n\nThe American people give you an F! #Covid_19 #Covid #TrumpFailedAmerica'",11,22,20,Twitter for iPhone,164,
33,1.31E+18,"b'RT @AlexBerenson: If you\xe2\x80\x99d like to know how the US has reach 200,000 reported #sarscov2 deaths, the Milwaukee coroner\xe2\x80\x99s office is a good pl\xe2\x80\xa6'",4,25,23,Twitter for iPhone,989,
34,1.31E+18,b'#taxi #taxidriver #uber #travel #car #taxis #cab #taxista #taxiservice #cars #covid #photography #taksi #driver #t #airport #a #o #xi #bhfyp #newyork #pop #taxicab #peugeot #instagood #transporte #nyc #instagram #streetphotography #bhfyp https://t.co/nf0qIzAkEt',6,5,6,Twitter Web App,684,
35,1.31E+18,b'RT @Fasgaenred: VIGILANCIA Y CONTROL #COVID19 : \xc2\xbfDUDAS?\n#covid #coronavirus #brotecovid https://t.co/CbykC6JvEh',1,24,12,Twitter for iPhone,388,
36,1.31E+18,"b""[9/24 webinar] @MicroFocus' Archie Roboostoff will discuss 5 areas where IT orgs need to succeed in the era of #COVID. Following, a @WeberGrills grillmaster will demo how to cook the perfect burger! Reg now! https://t.co/QgiHew5HmL #TeamMicroFocus https://t.co/y9QCa1QClQ""",1,5,22,EveryoneSocial,752,
37,1.31E+18,"b'RT @Hispantv: #Indonesia acoge a la mayor poblaci\xc3\xb3n de musulmanes del mundo, es un archipi\xc3\xa9lago que cuenta con 17 mil islas y se jacta de s\xe2\x80\xa6'",5,22,21,Twitter Web App,2326,
38,1.31E+18,"b'RT @ucu: Today we were warned that if the current rate of infection is not halted, the UK could be facing around 50,000 new #Covid cases a\xe2\x80\xa6'",12,30,15,Twitter for iPhone,1164,
39,1.31E+18,"b'It doesn\'t necessarily follow that masks = more ""cases"". What it shows, however, is that masks don\'t work in this instance. That\'s what the science tells us. Not the post-#COVID pseudo-science that is shaped on a daily basis to fit the narrative. EG: #Masks4All propaganda.'",4,29,22,Twitter Web App,437,
40,1.31E+18,"b'\xf0\x9f\x91\x89Hoje \xc3\xa9 o Dia de Lavar Sofa\xf0\x9f\x91\x88\n\xe2\x9c\x85Informa\xc3\xa7\xc3\xb5es pelo Whatsapp 11 991933818, clique no link abaixo ou na BIOS\xf0\x9f\x94\xbd\n\xe2\x9e\xa1https://t.co/OOF3RBPLd6\xe2\xac\x85\n#Ilhaclean #lavarsofas #LavagemDeEstofados\n#limpezadesofas #covid-19  #higieniza\xc3\xa7\xc3\xa3o #coronavirus https://t.co/7CifjAHnsi'",11,29,18,Etus Brasil,885,
41,1.31E+18,b'As I changed the duvet cover on the spare bedroom today I was surprised to find the winter weight (9 tog) duvet was on the bed. Briefly worried that all our guests had been sweltering. Then realised no-one had been to stay since last winter #lockdown #covid',4,28,18,Twitter for Android,146,
42,1.31E+18,"b'RT @emilysmithLD: Have been trying and failing to get a #Covid test for my son since 8am. So, tomorrow he and his (healthy) brother will mi\xe2\x80\xa6'",6,19,11,Twitter for Android,960,
43,1.31E+18,b'RT @digitaldad: How can businesses use #IoT to make their workplaces safer during #COVID-19? I chat with Cory Clarke of @RXR_Realty about s\xe2\x80\xa6',7,8,0,,8,
44,1.31E+18,"b'RT @GNB_Lara: \xf0\x9f\x9a\x94\xf0\x9f\x9a\xa8 Nuestra @GNB_Lara en el Mcpio. Torres, efectu\xc3\xb3 la retenci\xc3\xb3n de 03 Motos, as\xc3\xad como la detenci\xc3\xb3n de 13 cddnos, quienes se en\xe2\x80\xa6'",6,20,10,Twitter for Android,52,
45,1.31E+18,b'RT @johnis44: https://t.co/WUsLVyETmw @Ziggiezaggie I\xe2\x80\x99ll spread this message far and wide! 45 here is a message for you from 60% of America\xe2\x80\xa6',1,8,23,Twitter Web App,9172,
46,1.31E+18,b'RT @Carlabacigalupo: En cada una de las obras de construcci\xc3\xb3n verificamos adem\xc3\xa1s el cumplimiento de las normas sanitarias laborales #Covid.\xe2\x80\xa6',9,29,17,Twitter for Android,108,
47,1.31E+18,"b'RT @RichardNewby3: As new lockdwn planned Gvt should be learning the lessons from Germany where #covid #testing works smoothly, using a fun\xe2\x80\xa6'",1,25,16,Twitter for iPhone,4968,
48,1.31E+18,"b'RT @RichardNewby3: As new lockdwn planned Gvt should be learning the lessons from Germany where #covid #testing works smoothly, using a fun\xe2\x80\xa6'",1,3,11,Twitter for iPhone,5005,
49,1.31E+18,"b'RT @GeorgeDibb: In our latest policy brief, @MazzucatoM and I pull together the latest research from across @IIPP_UCL on industrial and inn\xe2\x80\xa6'",10,6,16,Twitter for iPhone,1837,
50,1.31E+18,b'RT @GobiernoMorelos: Informaci\xc3\xb3n importante sobre la situaci\xc3\xb3n del COVID-19 en Morelos al d\xc3\xada lunes 21 de septiembre de 2020. \nGracias por\xe2\x80\xa6',4,19,3,Twitter for iPhone,584,
51,1.31E+18,b'RT @AlzDisInt: Read this article in the @heraldscotland which includes findings from the #WorldAlzReport 2020 that ventilation could have i\xe2\x80\xa6',5,7,13,Twitter for Android,4603,
52,1.31E+18,"b""RT @imnotalone: 21 septembre. (nb: je vous disais hier que c'\xc3\xa9tait le bazar dans le chiffre FR. L'erreur sur le site santepubliquefrance es\xe2\x80\xa6""",7,1,17,Twitter for iPhone,247,
53,1.31E+18,"b'@DeptVetAffairs, @VeteransHealth researchers to study blood plasma for treating seriously ill #COVID-19 Patients https://t.co/XKJnfKcKJ8'",6,11,14,Hootsuite Inc.,299,
54,1.31E+18,"b""In spite of the #COVID-19 #pandemic, we could be \xe2\x80\x9centering a golden age of #influencers,\xe2\x80\x9d reports PRWeek. Join https://t.co/h8XtO4bo7D   Webtalk's invite-only Beta launch and get #paid for your #content and #engagement!\nhttps://t.co/irvB1jexTk  https://t.co/fyIYEExRol https://t.co/UXXd2IkCj6""",4,20,13,Buffer,5001,
55,1.31E+18,"b'QUE NO TE TOQUES LOS OJOS, LA NARIZ NI LA BOCA!! #covid #ParoNacional21S'",7,6,2,Peznaranja,744,
56,1.31E+18,b'RT @silvanhoe: @leo_pistone @valy_s via @CDonChisciotte guarda questi protocolli di definizione della diagnosi #covid \nintere generazioni d\xe2\x80\xa6',11,11,21,Twitter for Android,1573,
57,1.31E+18,b'COVID-19 &amp; Commercial Real Estate: What to Expect #CRE #eBook #NewNormal #COVID-19 #Office #Warehouse #CorporateRealEstate\nhttps://t.co/D5Ca3oIfwp https://t.co/pYuepLkdeo',5,17,15,HubSpot,2987,
58,1.31E+18,"b'""My course has almost 30 people and a third have been placed in quarantine,"" one Boston College grad student says. Yet he hasn\'t been offered any additional #COVID testing.\n\nWho is getting tested weekly at BC? The school\'s football players. https://t.co/SKeh0FOkPA'",10,29,13,Sprout Social,6027,
59,1.31E+18,"b'RT @BetteMidler: #RBG has knocked #Covid out of the news. \xc2\xa0BUT YOU KNOW, AND I KNOW, SHE WANTS YOU TO REMEMBER 200,000 ARE DEAD!   She also\xe2\x80\xa6'",12,15,10,Twitter for iPhone,347,
60,1.31E+18,b'\xf0\x9f\x9b\xa1\xef\xb8\x8f Se enfrenta a la #COVID-19 en su trabajo y est\xc3\xa1 expuestos a diario al virus. Pero su labor en la lucha contra la pandemia se olvida demasiado a menudo.\n\nEl personal de limpieza en los centros de salud es VITAL \xf0\x9f\x92\xaa\n\n\xf0\x9f\x91\x87\xf0\x9f\x91\x87\xf0\x9f\x91\x87 https://t.co/UdXT9RWaNt',2,23,16,Twitter Media Studio,1288,
61,1.31E+18,b'#Provincia #Covid @DrDanielGollan: \xe2\x80\x9cSe registra un descenso en el promedio de casos en el AMBA\xe2\x80\x9d https://t.co/WMaE6HDyn0',1,28,5,TweetDeck,276,
62,1.31E+18,"b'@docsloth @andhanni @Carolyn4GA7 @RichforGA Lest we forget, the ""real doctor"" McCormick MOCKING #covid:\n""Nobody in the United States has died of it. Zero cases in Georgia. To put this in perspective 12,000 people die a year of the flu... We will be just fine.""\n09-21-20: 199,743 Americans DEAD\n09-21-20: 6,604 Georgians DEAD https://t.co/z6ngAMeEhb'",3,24,13,Twitter Web App,4635,
63,1.31E+18,b'RT @IntraMednet: Hiperviscosidad asociada a #COVID-19. \xc2\xbfUn v\xc3\xadnculo entre inflamaci\xc3\xb3n y trombofilia? La hiperviscosidad da\xc3\xb1a el endotelio y\xe2\x80\xa6',2,27,5,Twitter for Android,368,
64,1.31E+18,b'RT @VillaDeCortesBJ: Dra @Claudiashein nos avisan que la @SOBSECDMX de niega a recibir documentos para el programa emergente #MejorandoLaCi\xe2\x80\xa6',5,25,22,Twitter for iPhone,796,
65,1.31E+18,b'RT @jesusmarana: El lobby #farmac\xc3\xa9utico endosa a los #Estados la factura de los posibles efectos adversos de las #vacunas contra el #Covid\xe2\x80\xa6',5,29,10,Twitter for iPhone,309,
66,1.31E+18,"b'Th\xc3\xa8mes: Libert\xc3\xa9, COVID-19 et Socio-Politique\n\n@AndrePitre_LUX @Alexis_Cossette @logixca @GThibodeau_Mtl @silvano_trotta pour info\n\nhttps://t.co/OX2GmQDAI7\n\n#Liberty #Covid_19 #censorship #FakeNews #fr #Covid #Politique #COVID\xe3\x83\xbc19 #FreeSpeech #Trump #FakeNewsMedia #StopConfinement'",11,25,4,Twitter Web App,135,
67,1.31E+18,"b'RT @AlexBerenson: If you\xe2\x80\x99d like to know how the US has reach 200,000 reported #sarscov2 deaths, the Milwaukee coroner\xe2\x80\x99s office is a good pl\xe2\x80\xa6'",3,27,21,Twitter for iPhone,1297,
68,1.31E+18,b'RT @FAOSierraLeone: @FAO #ECTAD Sierra Leone in conjunction with One Health MDAs conducts sensitization on human-domestic-wildlife interfac\xe2\x80\xa6',3,29,11,Twitter for Android,1091,
69,1.31E+18,b'#BreakingNews Stocks Sink on Concerns Over Who Will Replace RBG &amp; Vaccine Questions  \n\n\xf0\x9f\x9a\xa860% of Biz Closures Permanent   \n\n\xf0\x9f\x98\xb7Covid Patients Twice as Likely to Have Eaten at Restaurants  \n\n\xf0\x9f\x8e\xafHow To Get Your Business Noticed  \n\nhttps://t.co/wedXFMc9Oj \n\n#covid #stocks #housing #RBG',9,2,19,Twitter for iPad,380,
70,1.31E+18,b'RT @buckleytype: Under Pressure. #art #illustration #editorialillustration #digitalart #realism #cinema4D #c4d #render #3d #infographic #il\xe2\x80\xa6',8,29,15,MDS Animation,19230,
71,1.31E+18,b'RT @B52Malmet: The CDC yanking critical public health info about the aerosol spread of #covid means that the regime of cruelty is fine with\xe2\x80\xa6',6,7,2,Twitter for Android,1326,
72,1.31E+18,b'RT @sorluciacaram: Estos son los efectos devastadores del #Covid \xf0\x9f\xa6\xa0 \xf0\x9f\x98\xb7 \nUna cola interminable de personas.\nGracias a los que nos ayud\xc3\xa1is a ay\xe2\x80\xa6',10,23,18,Twitter for Android,297,
73,1.31E+18,b'RT @LuxeTiffany: All the leading drug companies in clinical trials for the #COVID-19 vaccine have agreed not to release COVID-19 vaccine un\xe2\x80\xa6',5,8,17,Twitter for iPhone,967,
74,1.31E+18,b'RT @B52Malmet: The CDC yanking critical public health info about the aerosol spread of #covid means that the regime of cruelty is fine with\xe2\x80\xa6',1,13,3,Twitter for iPad,330,
75,1.31E+18,"b'RT @CsMadridCiudad: \xe2\x84\xb9\xef\xb8\x8f Los Puntos de Informaci\xc3\xb3n #COVID, con @voluntmadrid, recorrer\xc3\xa1n los distritos para informar a los ciudadanos\n\n\xf0\x9f\x93\xbd\xef\xb8\x8f @be\xe2\x80\xa6'",11,16,16,Twitter Web App,1229,
76,1.31E+18,b'RT @cassandra17lina: So you\xe2\x80\x99re \xe2\x80\x9cyoung\xe2\x80\x9d and \xe2\x80\x9cwhite\xe2\x80\x9d and you\xe2\x80\x99re thinking that #Coronavirus can\xe2\x80\x99t touch you? Guess again. Based on the latest\xe2\x80\xa6',11,1,18,Twitter Web App,6947,
77,1.31E+18,b'#covid https://t.co/IBInlGZIWL',1,25,20,Twitter for iPhone,2514,
78,1.31E+18,"b""RT @RepDonBacon: The @HouseGOP's #CommitmentToAmerica lays out the framework to increase #COVID testing, develop a safe and effective vacci\xe2\x80\xa6""",1,6,16,Twitter for iPad,246,
79,1.31E+18,"b'RT @AlexBerenson: If you\xe2\x80\x99d like to know how the US has reach 200,000 reported #sarscov2 deaths, the Milwaukee coroner\xe2\x80\x99s office is a good pl\xe2\x80\xa6'",9,24,22,Twitter Web App,2292,
80,1.31E+18,b'RT @MassMedical: Researchers at @MIT and the @broadinstitute have created a #COVID #RapidTest that detected 93% of positive cases out of 40\xe2\x80\xa6',11,3,21,Twitter Web App,128,
81,1.31E+18,b'RT @digitaldad: How can businesses use #IoT to make their workplaces safer during #COVID-19? I chat with Cory Clarke of @RXR_Realty about s\xe2\x80\xa6',1,12,5,Retweet not,70,
82,1.31E+18,b'Die #Niederlande verh\xc3\xa4ngen eine #Reisewarnung f\xc3\xbcr #Innsbruck und Wien #corona #covid  https://t.co/obacc539OP',5,12,8,Twitter for iPhone,206,
83,1.31E+18,b'@BBCExtinction However did it come to this?\xf0\x9f\x8c\x8d\xf0\x9f\x86\x98\xf0\x9f\x98\xa9Catastrophic. #ClimateCrisis #Covid #Covid_19 #ExtinctionTheFacts',10,7,18,Twitter for iPhone,32,
84,1.31E+18,"b""RT @RepDonBacon: The @HouseGOP's #CommitmentToAmerica lays out the framework to increase #COVID testing, develop a safe and effective vacci\xe2\x80\xa6""",1,7,20,Twitter for iPhone,4804,
85,1.31E+18,"b'RT @MarkedByCovid: Tonight I\xe2\x80\x99ll be lighting a candle for the 200,000 lost. I hope you\xe2\x80\x99ll join me, and post to Twitter and social media if y\xe2\x80\xa6'",5,9,11,Twitter Web App,3458,
86,1.31E+18,"b'RT @AlexBerenson: If you\xe2\x80\x99d like to know how the US has reach 200,000 reported #sarscov2 deaths, the Milwaukee coroner\xe2\x80\x99s office is a good pl\xe2\x80\xa6'",6,16,1,Twitter for iPhone,100,
87,1.31E+18,"b""Still can't get my head around all this. Virtually non existent in Brighton #Covid https://t.co/GSjVGSZR5E""",6,2,20,Twitter for Android,162,
88,1.31E+18,b'RT @Mendelpol: \xf0\x9f\x98\x94\n#Covid: UK coronavirus alert level moving to 4\nhttps://t.co/dxAgMzftCb',2,3,11,Twitter for iPhone,3078,
89,1.31E+18,"b'RT @SteveGaetz: $1 billion Rapid Housing Initiative, $236.7 million for Reaching Home to address #homelessness in light of #COVID-19. Long-\xe2\x80\xa6'",5,3,19,Twitter for Android,38,
90,1.31E+18,b'RT @PrisionesEstado: Ofrecer el estado de alarma a las Comunidades Aut\xc3\xb3nomas es echar balones fuera.\n\n\xf0\x9d\x97\xa6\xf0\x9d\x97\xae\xf0\x9d\x97\xbb\xf0\x9d\x97\xb0\xf0\x9d\x97\xb5\xf0\x9d\x97\xb2\xf0\x9d\x98\x87 \xf0\x9d\x98\x86 \xf0\x9d\x97\x94\xf0\x9d\x98\x86\xf0\x9d\x98\x82\xf0\x9d\x98\x80\xf0\x9d\x97\xbc \n#Covid',4,27,1,Twitter for Android,6926,
91,1.31E+18,b'#Mundo | Nuevo caso de #covid en Corea vuelve a encender las alarmas epidemiol\xc3\xb3gicas. Se trata de una mujer residente en Se\xc3\xbal. \xf0\x9f\x98\xb7  *ep https://t.co/0c8T7Nbe2l',6,5,18,TweetDeck,3658,
92,1.31E+18,"b'RT @AlexBerenson: If you\xe2\x80\x99d like to know how the US has reach 200,000 reported #sarscov2 deaths, the Milwaukee coroner\xe2\x80\x99s office is a good pl\xe2\x80\xa6'",12,30,19,Twitter for iPhone,7905,
93,1.31E+18,"b'RT @odvsAngel: #L6Nalertacontagios \nEl Consejo de #Abengoa se aprovecha del #COVID para obtener fondos p\xc3\xbablicos, cobrar bonus millonarios y\xe2\x80\xa6'",6,6,12,Twitter for iPhone,1358,
94,1.31E+18,"b'RT @AlexBerenson: If you\xe2\x80\x99d like to know how the US has reach 200,000 reported #sarscov2 deaths, the Milwaukee coroner\xe2\x80\x99s office is a good pl\xe2\x80\xa6'",12,29,0,Twitter for Android,769,
95,1.31E+18,"b'RT @sunilkapoor8: Fact is 78% had to use connections, clout to get a #Covid #ICU bed: Survey - India News\n@dharam2509 @ua_shirin \n@Raajeev_\xe2\x80\xa6'",8,4,10,Twitter for iPhone,298,
96,1.31E+18,b'So it\xe2\x80\x99s going to be safe to be in a pub up to 10.00pm but at 10.01pm it becomes perilous?\nThe cackhanded incompetence of the utterly clueless Johnson and his gang of sycophantic boot-licking ministers terrifies me more than. #Covid-19 does. Ineptitude on an industrial scale.',1,29,18,Twitter for iPhone,430,
97,1.31E+18,"b'RT @AlexBerenson: If you\xe2\x80\x99d like to know how the US has reach 200,000 reported #sarscov2 deaths, the Milwaukee coroner\xe2\x80\x99s office is a good pl\xe2\x80\xa6'",4,6,19,Twitter for iPhone,7128,
98,1.31E+18,"b'RT @IAIM_VE: #Gesti\xc3\xb3nIAIM || #21Sep Acatando la orden del Pdte. @NicolasMaduro, evitamos la propagaci\xc3\xb3n del #Covid-19, mediante el Plan de\xe2\x80\xa6'",4,18,22,Twitter for Android,37,
99,1.31E+18,"b'Con motivo del 75 aniversario de la #ONU, la Asamblea General realiza este lunes una reuni\xc3\xb3n de alto nivel,  en la cual se espera la intervenci\xc3\xb3n virtual de varios dignatarios de todo el mundo. Se busca generar un respaldo al multilateralismo en medio de la pandemia #covid-19 https://t.co/QGHUuWdK6h'",6,3,20,Twitter for Android,446,
100,1.31E+18,"b'RT @M_T_Franz: #covid - jeder ist eingeladen, \xc3\xbcber die Hintergr\xc3\xbcnde nachzudenken https://t.co/LWUqXuRnKt'",1,10,22,Twitter Web App,4728,
101,1.31E+18,"b'RT @DMiliband: New York is no paragon when it comes to #Covid.  But a) nowhere without a mask, b) no indoor dining c) no indoor bars etc ha\xe2\x80\xa6'",4,14,15,Twitter for iPad,48,
102,1.31E+18,"b'RT @AlexBerenson: If you\xe2\x80\x99d like to know how the US has reach 200,000 reported #sarscov2 deaths, the Milwaukee coroner\xe2\x80\x99s office is a good pl\xe2\x80\xa6'",4,29,15,Twitter for iPhone,5000,
103,1.31E+18,"b'RT @TheLogicalBloke: UK has most #covid deaths in Europe\n\nEven after ""fixing"" English figs\n\nUK 41759\nItaly 35692\nFrance 31274\nSpain 30495\nR\xe2\x80\xa6'",3,6,17,Twitter Web App,1889,
104,1.31E+18,"b'RT @draolgaponce: No por favor, no se a\xc3\xadsle en su casa con remedios caseros, acuda al m\xc3\xa9dico o al hospital si tiene s\xc3\xadntomas, incluso dolor\xe2\x80\xa6'",9,2,19,Twitter for iPad,925,
105,1.31E+18,"b'RT @AlexBerenson: Six months ago today, at peak #Covid terror, @mtosterholm wrote a smart op-ed about why lockdowns were a terrible idea. I\xe2\x80\xa6'",3,3,15,Twitter Web App,1123,
106,1.31E+18,b'RT @saribethrose: Wanna know why the @cdc changed the info about #Covid being airborne? The Trump Admin FAILED in their response. Not only\xe2\x80\xa6',7,21,22,Twitter for Android,2648,
107,1.31E+18,"b'RT @DMiliband: New York is no paragon when it comes to #Covid.  But a) nowhere without a mask, b) no indoor dining c) no indoor bars etc ha\xe2\x80\xa6'",5,17,5,Twitter for iPad,401,
